start_year,end_year,title,country_1,country_2,casualty
1983,2009,Sri Lanka's Civil War ,Sri Lanka,Null,70000
1991,2009,Russia-Chechnya civil war ,Russia,Null,200000
2003,2009,Sudan vs JEM/Darfur ,Sudan ,Null,300000
2003,2011,Second Iraq-USA war,Iraq,USA,160000
1972,2014,Philippines vs Muslim separatists ,Philippines ,Null,150000
2013,2015,South Sudan vs rebels ,Sudan ,Null,10000
1966,2016,Colombia's civil war ,Colombia,Null,200000
2014,2016,Ukraine's civil war ,Ukraine,Null,9500
1984,2017,Turkey vs Kurds,Turkey ,Null,50000
1986,2017,Indian Kashmir's civil war ,India,Null,60000
1987,2017,Palestin vs Israil War,Palestin,Israil,30000
1995,2017,Pakistani Sunnis vs Shiites ,Pakistan,Null,1300
2004,2017,Thailand vs Muslim separatists ,Thailand ,Null,6500
2007,2017,Pakistan vs Pakistani Taliban ,Pakistan ,Null,38000
2011,2017,Iraq's civil war after the withdrawal of the USA ,Iraq,Null,150000
2012,2017,Syria's civil war ,Syria's,Null,400000
